File,Iterations
Sudokus/Size/2x5/Sudoku8_2x5,2271
Sudokus/Size/2x2/Sudoku10_2x2,124
Sudokus/Size/2x2/Sudoku1_2x2,49
Sudokus/Size/2x2/Sudoku2_2x2,112
Sudokus/Size/2x2/Sudoku3_2x2,52
Sudokus/Size/2x2/Sudoku4_2x2,53
Sudokus/Size/2x2/Sudoku5_2x2,38
Sudokus/Size/2x2/Sudoku6_2x2,40
Sudokus/Size/2x2/Sudoku7_2x2,49
Sudokus/Size/2x2/Sudoku8_2x2,124
Sudokus/Size/2x2/Sudoku9_2x2,51
Sudokus/Size/2x3/Sudoku10_2x3,216
Sudokus/Size/2x3/Sudoku1_2x3,729
Sudokus/Size/2x3/Sudoku2_2x3,958
Sudokus/Size/2x3/Sudoku3_2x3,184
Sudokus/Size/2x3/Sudoku4_2x3,222
Sudokus/Size/2x3/Sudoku5_2x3,1731
Sudokus/Size/2x3/Sudoku6_2x3,1032
Sudokus/Size/2x3/Sudoku7_2x3,1140
Sudokus/Size/2x3/Sudoku8_2x3,454
Sudokus/Size/2x3/Sudoku9_2x3,387
Sudokus/Size/2x4/Sudoku10_2x4,36328
Sudokus/Size/2x4/Sudoku1_2x4,2594
Sudokus/Size/2x4/Sudoku2_2x4,13997
Sudokus/Size/2x4/Sudoku3_2x4,39820
Sudokus/Size/2x4/Sudoku4_2x4,594
Sudokus/Size/2x4/Sudoku5_2x4,3480
Sudokus/Size/2x4/Sudoku6_2x4,8788
Sudokus/Size/2x4/Sudoku7_2x4,33569
Sudokus/Size/2x4/Sudoku8_2x4,16735
Sudokus/Size/2x4/Sudoku9_2x4,14959
Sudokus/Size/3x3/Sudoku10_3x3,11159
Sudokus/Size/3x3/Sudoku1_3x3,9509
Sudokus/Size/3x3/Sudoku2_3x3,110970
Sudokus/Size/3x3/Sudoku3_3x3,179786
Sudokus/Size/3x3/Sudoku4_3x3,13932
Sudokus/Size/3x3/Sudoku5_3x3,37006
Sudokus/Size/3x3/Sudoku6_3x3,39654
Sudokus/Size/3x3/Sudoku7_3x3,841
Sudokus/Size/3x3/Sudoku8_3x3,12186
Sudokus/Size/3x3/Sudoku9_3x3,2754
Sudokus/Size/2x5/Sudoku10_2x5,3444
Sudokus/Size/2x5/Sudoku1_2x5,663635
Sudokus/Size/2x5/Sudoku3_2x5,29767
Sudokus/Size/2x5/Sudoku4_2x5,27507
Sudokus/Size/2x5/Sudoku5_2x5,1435134
Sudokus/Size/2x5/Sudoku8_2x5,2271
Sudokus/Size/2x2/Sudoku2_2x2,112
Sudokus/Size/2x2/Sudoku2_2x2,68
Sudokus/Size/2x2/Sudoku10_2x2,100
Sudokus/Size/2x2/Sudoku1_2x2,49
Sudokus/Size/2x2/Sudoku2_2x2,68
Sudokus/Size/2x2/Sudoku3_2x2,52
Sudokus/Size/2x2/Sudoku4_2x2,53
Sudokus/Size/2x2/Sudoku5_2x2,38
Sudokus/Size/2x2/Sudoku6_2x2,40
Sudokus/Size/2x2/Sudoku7_2x2,49
Sudokus/Size/2x2/Sudoku8_2x2,124
Sudokus/Size/2x2/Sudoku9_2x2,51
Sudokus/Size/2x3/Sudoku10_2x3,216
Sudokus/Size/2x3/Sudoku1_2x3,729
Sudokus/Size/2x3/Sudoku2_2x3,958
Sudokus/Size/2x3/Sudoku3_2x3,184
Sudokus/Size/2x3/Sudoku4_2x3,180
Sudokus/Size/2x3/Sudoku5_2x3,1731
Sudokus/Size/2x3/Sudoku6_2x3,780
Sudokus/Size/2x3/Sudoku7_2x3,1134
Sudokus/Size/2x3/Sudoku8_2x3,454
Sudokus/Size/2x3/Sudoku9_2x3,387
Sudokus/Size/2x4/Sudoku10_2x4,35816
Sudokus/Size/2x4/Sudoku1_2x4,2594
Sudokus/Size/2x4/Sudoku2_2x4,13997
Sudokus/Size/2x4/Sudoku3_2x4,39820
Sudokus/Size/2x4/Sudoku4_2x4,594
Sudokus/Size/2x4/Sudoku5_2x4,1088
Sudokus/Size/2x4/Sudoku6_2x4,8788
Sudokus/Size/2x4/Sudoku7_2x4,33569
Sudokus/Size/2x4/Sudoku8_2x4,16735
Sudokus/Size/2x4/Sudoku9_2x4,14959
Sudokus/Size/3x3/Sudoku10_3x3,11159
Sudokus/Size/3x3/Sudoku1_3x3,9509
Sudokus/Size/3x3/Sudoku2_3x3,14382
Sudokus/Size/3x3/Sudoku3_3x3,179786
Sudokus/Size/3x3/Sudoku4_3x3,1080
Sudokus/Size/3x3/Sudoku5_3x3,37006
Sudokus/Size/3x3/Sudoku6_3x3,10701
Sudokus/Size/3x3/Sudoku7_3x3,841
Sudokus/Size/3x3/Sudoku8_3x3,2511
Sudokus/Size/3x3/Sudoku9_3x3,2754
Sudokus/Size/2x5/Sudoku10_2x5,3444
Sudokus/Size/2x5/Sudoku1_2x5,663635
Sudokus/Size/2x5/Sudoku2_2x5,54650
Sudokus/Size/2x5/Sudoku3_2x5,29767
Sudokus/Size/2x5/Sudoku4_2x5,27507
Sudokus/Size/2x5/Sudoku5_2x5,1435134
Sudokus/Size/2x5/Sudoku6_2x5,2755270
Sudokus/Size/2x5/Sudoku7_2x5,879629880
Sudokus/Size/2x5/Sudoku8_2x5,2271
Sudokus/Size/2x5/Sudoku9_2x5,442170
